"TIME","GEO","UNIT","DIRECT","NA_ITEM","Value","Flag and Footnotes"
"2008","DE92","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,300",""
"2008","DE93","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,900",""
"2008","DE94","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,200",""
"2008","DEA","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,800",""
"2008","DEA1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,400",""
"2008","DEA2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,800",""
"2008","DEA3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,200",""
"2008","DEA4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,700",""
"2008","DEA5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,000",""
"2008","DEB","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,300",""
"2008","DEB1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,600",""
"2008","DEB2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,500",""
"2008","DEB3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,000",""
"2008","DEC","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,000",""
"2008","DEC0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,000",""
"2008","DED","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,100",""
"2008","DED2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,400",""
"2008","DED4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,500",""
"2008","DED5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,700",""
"2008","DEE","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,200",""
"2008","DEE0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,200",""
"2008","DEF","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,300",""
"2008","DEF0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,300",""
"2008","DEG","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,400",""
"2008","DEG0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,400",""
"2008","EE","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","7,300",""
"2008","IE","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,600",""
"2008","IE0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,600",""
"2008","IE04","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","18,300",""
"2008","IE05","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,900",""
"2008","IE06","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","25,400",""
"2008","EL","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,400",""
"2008","EL5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,400",""
"2008","EL51","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,300",""
"2008","EL52","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,800",""
"2008","EL53","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,600",""
"2008","EL54","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,000",""
"2008","EL6","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,700",""
"2008","EL61","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,400",""
"2008","EL62","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,700",""
"2008","EL63","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,200",""
"2008","EL64","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,500",""
"2008","EL65","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,400",""
"2008","EL3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","17,500",""
"2008","EL30","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","17,500",""
"2008","EL4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,100",""
"2008","EL41","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,700",""
"2008","EL42","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,600",""
"2008","EL43","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,900",""
"2008","ES","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,800",""
"2008","ES1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,100",""
"2008","ES11","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,600",""
"2008","ES12","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,700",""
"2008","ES13","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,500",""
"2008","ES2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","19,200",""
"2008","ES21","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,500",""
"2008","ES22","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,000",""
"2008","ES23","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,500",""
"2008","ES24","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","17,200",""
"2008","ES3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,000",""
"2008","ES30","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,000",""
"2008","ES4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,400",""
"2008","ES41","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,800",""
"2008","ES42","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,900",""
"2008","ES43","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,000",""
"2008","ES5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,700",""
"2008","ES51","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","18,500",""
"2008","ES52","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,100",""
"2008","ES53","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","16,900",""
"2008","ES6","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,100",""
"2008","ES61","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","11,900",""
"2008","ES62","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,900",""
"2008","ES63","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,200",""
"2008","ES64","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,200",""
"2008","ES7","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,600",""
"2008","ES70","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,600",""
"2008","ESZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","ESZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FR","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FR1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FR10","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRB","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRB0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRC","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRC1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRC2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRD","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRD1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRD2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRE","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRE1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRE2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRF","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRF1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRF2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRF3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRG","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRG0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRH","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRH0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRI","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRI1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRI2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRI3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRJ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRJ1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRJ2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRK","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRK1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRK2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRL","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRL0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRM","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRM0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRY","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRY1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRY2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRY3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRY4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRY5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","FRZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","HR","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,600",""
"2008","HR0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,600",""
"2008","HR03","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,300",""
"2008","HR04","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,800",""
"2008","IT","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","20,000",""
"2008","ITC","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,700",""
"2008","ITC1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,700",""
"2008","ITC2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,600",""
"2008","ITC3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,100",""
"2008","ITC4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","26,100",""
"2008","ITH","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,400",""
"2008","ITH1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","26,100",""
"2008","ITH2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","23,500",""
"2008","ITH3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,200",""
"2008","ITH4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,100",""
"2008","ITH5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","24,900",""
"2008","ITI","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,300",""
"2008","ITI1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","21,300",""
"2008","ITI2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","19,500",""
"2008","ITI3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","19,500",""
"2008","ITI4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","22,200",""
"2008","ITF","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,800",""
"2008","ITF1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","17,100",""
"2008","ITF2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,600",""
"2008","ITF3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,700",""
"2008","ITF4","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,400",""
"2008","ITF5","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,700",""
"2008","ITF6","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","12,600",""
"2008","ITG","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,700",""
"2008","ITG1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","13,300",""
"2008","ITG2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","14,700",""
"2008","ITZZ","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","CY","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,200",""
"2008","CY0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,200",""
"2008","CY00","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","15,200",""
"2008","LV","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,900",""
"2008","LV0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,900",""
"2008","LV00","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,900",""
"2008","LT","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","LT0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","LT01","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","LT02","Euro per inhabitant","Balance","Balance of primary incomes/National income, net",":",""
"2008","LU","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","31,200",""
"2008","LU0","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","31,200",""
"2008","LU00","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","31,200",""
"2008","HU","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,500",""
"2008","HU1","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","8,300",""
"2008","HU11","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","9,000",""
"2008","HU12","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","7,300",""
"2008","HU2","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,500",""
"2008","HU21","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,800",""
"2008","HU22","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","6,700",""
"2008","HU23","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","5,800",""
"2008","HU3","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","5,300",""
"2008","HU31","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","5,300",""
"2008","HU32","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","5,200",""
"2008","HU33","Euro per inhabitant","Balance","Balance of primary incomes/National income, net","5,500",""
